id,name,common_name,active_substance,therapeutic_area,group
682,Zilbrysq,Zilucoplan,zilucoplan,Myasthenia Gravis,Immunosuppressants
683,Akantior,polihexanide,Polihexanide,Acanthamoeba Keratitis,Ophthalmologicals
684,Cejemly,sugemalimab,Sugemalimab,"Carcinoma, Non-Small-Cell Lung",Antineoplastic agents
685,Kapruvia,difelikefalin,difelikefalin,Pruritus,All other therapeutic products
686,Avamys,fluticasone furoate,fluticasone furoate,"Rhinitis, Allergic, Seasonal;Rhinitis, Allergic, Perennial",Nasal preparations;Corticosteroids
687,Orgalutran,ganirelix,ganirelix,"Reproductive Techniques, Assisted;Ovulation Induction;Infertility, Female",Pituitary and hypothalamic hormones and analogues
688,Tecvayli,teclistamab,Teclistamab,Multiple Myeloma,Antineoplastic agents
689,Zessly,infliximab,infliximab,"Arthritis, Psoriatic;Psoriasis;Crohn Disease;Arthritis, Rheumatoid;Colitis, Ulcerative;Spondylitis, Ankylosing",Immunosuppressants
690,Isturisa,osilodrostat,Osilodrostat phosphate,Cushing Syndrome,Corticosteroids for systemic use
691,Rixubis,nonacog gamma,Nonacog gamma,Hemophilia B,Antihemorrhagics
692,Hemlibra,emicizumab,Emicizumab,Hemophilia A,Antihemorrhagics
693,Zolsketil pegylated liposomal,doxorubicin,"doxorubicin hydrochloride, liposomal","Ovarian Neoplasms;Sarcoma, Kaposi;Multiple Myeloma",doxorubicin
694,Truvada,emtricitabine;tenofovir disoproxil,emtricitabine;tenofovir disoproxil fumarate,HIV Infections,Antivirals for systemic use
695,Filgrastim Hexal,filgrastim,filgrastim,Neutropenia;Hematopoietic Stem Cell Transplantation;Cancer,Immunostimulants
696,Zarzio,filgrastim,filgrastim,Neutropenia;Hematopoietic Stem Cell Transplantation;Cancer,Immunostimulants
697,Nuceiva,botulinum toxin type a,Botulinum toxin type A,Skin Aging,"Other muscle relaxants, peripherally acting agents"
698,Loargys,Pegzilarginase,Pegzilarginase,Hyperargininemia,Other alimentary tract and metabolism products
699,Ronapreve,casirivimab;imdevimab,casirivimab;imdevimab,COVID-19 virus infection,Immune sera and immunoglobulins
700,Rotarix,"rotavirus vaccine, live","human rotavirus, live attenuated",Immunization;Rotavirus Infections,Vaccines
701,Tenofovir disoproxil Zentiva,tenofovir disoproxil,tenofovir disoproxil phosphate,HIV Infections,Antivirals for systemic use
702,Vyvgart,efgartigimod alfa,Efgartigimod alfa,Myasthenia Gravis,Immunosuppressants
703,Vyxeos liposomal (previously known as Vyxeos),daunorubicin;cytarabine,daunorubicin hydrochloride;cytarabine,"Leukemia, Myeloid, Acute",Antineoplastic agents
704,Orserdu,elacestrant,elacestrant,Breast Neoplasms,Endocrine therapy
705,TachoSil,human fibrinogen;human thrombin,human fibrinogen;human thrombin,"Hemostasis, Surgical",Antihemorrhagics
706,Sprycel,dasatinib (anhydrous),dasatinib,"Precursor Cell Lymphoblastic Leukemia-Lymphoma;Leukemia, Myelogenous, Chronic, BCR-ABL Positive",Antineoplastic agents
707,Lumykras,sotorasib,sotorasib,"Carcinoma, Non-Small-Cell Lung",Antineoplastic agents
708,LysaKare,arginine;lysine,L-arginine hydrochloride;L-lysine hydrochloride,Radiation Injuries,Detoxifying agents for antineoplastic treatment
709,Zonisamide Mylan,zonisamide,zonisamide,Epilepsy,Antiepileptics
710,Enerzair Breezhaler,indacaterol;glycopyrronium bromide;mometasone,indacaterol;Glycopyrronium bromide;mometasone,Asthma,Drugs for obstructive airway diseases
711,Atectura Breezhaler,indacaterol;mometasone,indacaterol acetate;Mometasone furoate,Asthma,Drugs for obstructive airway diseases
712,Cerezyme,imiglucerase,imiglucerase,Gaucher Disease,Other alimentary tract and metabolism products
713,Aripiprazole Mylan Pharma (previously Aripiprazole Pharmathen),aripiprazole,aripiprazole,Schizophrenia;Bipolar Disorder,Psycholeptics
714,Krazati,adagrasib,Adagrasib,"Carcinoma, Non-Small-Cell Lung",Other antineoplastic agents
715,Roclanda,latanoprost / netarsudil,Latanoprost;Netarsudil mesilate,"Glaucoma, Open-Angle;Ocular Hypertension",Ophthalmologicals
716,Stayveer,bosentan monohydrate,bosentan (as monohydrate),"Hypertension, Pulmonary;Scleroderma, Systemic",Other antihypertensives
717,Fulvestrant Mylan,fulvestrant,fulvestrant,Breast Neoplasms,Endocrine therapy
718,Tepmetko,tepotinib,Tepotinib hydrochloride monohydrate,"Carcinoma, Non-Small-Cell Lung",Antineoplastic agents
719,Mysildecard,sildenafil,sildenafil citrate,"Hypertension, Pulmonary",Urologicals
720,Apremilast Accord,apremilast,apremilast,"Arthritis, Psoriatic;Psoriasis;Behcet Syndrome;Oral Ulcer",Immunosuppressants
721,Temozolomide Sun,temozolomide,temozolomide,Glioma;Glioblastoma,Antineoplastic agents
722,Rekambys,rilpivirine,rilpivirine,HIV Infections,Antivirals for systemic use
723,Trepulmix,treprostinil,Treprostinil sodium,"Hypertension, Pulmonary",Antithrombotic agents
724,Voydeya,Danicopan,Danicopan,"Hemoglobinuria, Paroxysmal;Hemolysis","Immunosuppressants, Complement inhibitors"
725,Onivyde pegylated liposomal (previously known as Onivyde),irinotecan hydrochloride trihydrate,irinotecan anhydrous free-base,Pancreatic Neoplasms,Antineoplastic agents
726,Miglustat Gen.Orph,miglustat,miglustat,Gaucher Disease,Other alimentary tract and metabolism products
727,Tracleer,bosentan,bosentan (as monohydrate),"Scleroderma, Systemic;Hypertension, Pulmonary",Antihypertensives
728,Zepatier,elbasvir;grazoprevir,elbasvir;grazoprevir,"Hepatitis C, Chronic",Direct acting antivirals;Antivirals for systemic use;Antivirals for treatment of HCV infections
729,Temozolomide Teva,temozolomide,temozolomide,Glioma;Glioblastoma,Antineoplastic agents
730,Ibuprofen Gen.Orph,ibuprofen,Ibuprofen,"Ductus Arteriosus, Patent",Other cardiac preparations
731,Tasigna,nilotinib,nilotinib,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive",Antineoplastic agents
732,Ryzneuta,efbemalenograstim alfa,efbemalenograstim alfa,Chemotherapy-Induced Febrile Neutropenia;Neutropenia,Immunostimulants
733,Neuraceq,florbetabenÿ(18F),florbetaben (18F),Radionuclide Imaging;Alzheimer Disease,Diagnostic radiopharmaceuticals
734,Uptravi,selexipag,Selexipag,"Hypertension, Pulmonary",Antithrombotic agents
735,Thalidomide Lipomed,thalidomide,Thalidomide,Multiple Myeloma,Immunosuppressants
736,Olanzapine Mylan,olanzapine,olanzapine,Schizophrenia;Bipolar Disorder,Psycholeptics
737,Poteligeo,mogamulizumab,Mogamulizumab,Sezary Syndrome;Mycosis Fungoides,Antineoplastic agents
738,GONAL-f,follitropin alfa,follitropin alfa,"Anovulation;Reproductive Techniques, Assisted;Infertility, Female;Hypogonadism",Sex hormones and modulators of the genital system
739,Ghryvelin (previously Macimorelin Aeterna Zentaris),macimorelin,macimorelin acetate,"Diagnostic Techniques, Endocrine",macimorelin
740,Scenesse,afamelanotide,afamelanotide,"Protoporphyria, Erythropoietic",Emollients and protectives
741,Anagrelide Viatris (previously Anagrelide Mylan),anagrelide,Anagrelide hydrochloride,"Thrombocythemia, Essential",Antineoplastic agents
742,Kauliv,teriparatide,teriparatide,"Osteoporosis;Osteoporosis, Postmenopausal",Calcium homeostasis
743,Onglyza,saxagliptin,Saxagliptin,"Diabetes Mellitus, Type 2",Drugs used in diabetes
744,Plerixafor Accord,plerixafor,Plerixafor,Multiple Myeloma;Hematopoietic Stem Cell Transplantation,Immunostimulants
745,Vyndaqel,tafamidis,tafamidis,Amyloidosis,Other nervous system drugs
746,Telmisartan Actavis,telmisartan,Telmisartan,Hypertension,Agents acting on the renin-angiotensin system
747,Heplisav B,hepatitis B surface antigen,hepatitis B surface antigen,Hepatitis B,Vaccines
748,Isentress,raltegravir,Raltegravir,HIV Infections,Antivirals for systemic use
749,Ryzodeg,insulin degludec;insulin aspart,insulin aspart;insulin degludec,Diabetes Mellitus,Drugs used in diabetes
750,Advagraf,tacrolimus,tacrolimus,Graft Rejection,Immunosuppressants
751,Emblaveo,aztreonam;avibactam,Avibactam;Aztreonam,Gram-Negative Bacterial Infections;Urinary Tract Infections;Healthcare-Associated Pneumonia;Soft Tissue Infections,Antibacterials for systemic use
752,Briumvi,ublituximab,Ublituximab,"Multiple Sclerosis, Relapsing-Remitting;Multiple Sclerosis",Immunosuppressants
753,Pelmeg,pegfilgrastim,pegfilgrastim,Neutropenia,Immunostimulants
754,RotaTeq,"rotavirus vaccine, live","rotavirus serotype G1, serotype G2, serotype G3, serotype G4, serotype P1",Immunization;Rotavirus Infections,Vaccines;Viral vaccines
755,Incellipan,"influenza vaccine (surface antigen, inactivated, prepared in cell cultures)","Influenza virus A/turkey/Turkey/1/2005 (H5N1) NIBRG-23 strain, HA surface antigen","Influenza, Human",Vaccines
756,Celldemic,"influenza vaccine (surface antigen, inactivated, prepared in cell cultures)","Influenza virus A/turkey/Turkey/1/2005 (H5N1) NIBRG-23 strain, HA surface antigen","Influenza, Human",Vaccines
757,Zynyz,retifanlimab,Retifanlimab,"Carcinoma, Merkel Cell",Antineoplastic agents
758,Mirapexin,pramipexole,pramipexole dihydrochloride monohydrate,Restless Legs Syndrome;Parkinson Disease,Anti-Parkinson drugs
759,Bydureon,exenatide,exenatide,"Diabetes Mellitus, Type 2",Drugs used in diabetes
760,Lyumjev (previously Liumjev),insulin lispro,insulin lispro,Diabetes Mellitus,Drugs used in diabetes
761,Prevenar 20 (previously Apexxnar),"pneumococcal polysaccharide conjugate vaccine (20-valent, adsorbed)",Pneumococcal polysaccharide serotype 1;Pneumococcal polysaccharide serotype 3;Pneumococcal polysaccharide serotype 4;Pneumococcal polysaccharide serotype 5;Pneumococcal polysaccharide serotype 6A;Pneumococcal polysaccharide serotype 6B;Pneumococcal polysaccharide serotype 7F;Pneumococcal polysaccharide serotype 8;Pneumococcal polysaccharide serotype 9V;Pneumococcal polysaccharide serotype 10A;Pneumococcal polysaccharide serotype 11A;Pneumococcal polysaccharide serotype 12F;Pneumococcal polysaccharide serotype 14;Pneumococcal polysaccharide serotype 15b;Pneumococcal polysaccharide serotype 18C;Pneumococcal polysaccharide serotype 19A;Pneumococcal polysaccharide serotype 19F;Pneumococcal polysaccharide serotype 22F;Pneumococcal polysaccharide serotype 23F;Pneumococcal polysaccharide serotype 33F,Pneumococcal Infections,Vaccines
762,GeGant,Germanium (68Ge) chloride;Gallium (68Ga) chloride,gallium (68Ga) chloride;germanium (68Ge) chloride,Radionuclide Imaging,Diagnostic radiopharmaceuticals
763,Pirfenidone axunio (previously Pirfenidone AET),pirfenidone,Pirfenidone,Idiopathic Pulmonary Fibrosis,Immunosuppressants
764,Sifrol,pramipexole,pramipexole dihydrochloride monohydrate,Restless Legs Syndrome;Parkinson Disease,Anti-Parkinson drugs
765,Pandemic influenza vaccine H5N1 AstraZeneca (previously Pandemic influenza vaccine H5N1 Medimmune),"pandemic influenza vaccine (H5N1) (live attenuated, nasal)",reassortant influenza virus (live attenuated) of the following strain: A/Vietnam/1203/2004 (H5N1) strain,"Influenza, Human",Vaccines
766,Spedra,avanafil,avanafil,Erectile Dysfunction,Drugs used in erectile dysfunction
767,Ontozry,cenobamate,cenobamate,Epilepsy,Antiepileptics
768,Emend,aprepitant,Aprepitant,Vomiting;Postoperative Nausea and Vomiting;Cancer,Antiemetics and antinauseants
769,Sitagliptin / Metformin hydrochloride Accord,sitagliptin;metformin hydrochloride,metformin hydrochloride;sitagliptin hydrochloride monohydrate,"Diabetes Mellitus, Type 2",Drugs used in diabetes
770,Oyavas,bevacizumab,bevacizumab,"Colorectal Neoplasms;Breast Neoplasms;Ovarian Neoplasms;Fallopian Tube Neoplasms;Peritoneal Neoplasms;Carcinoma, Non-Small-Cell Lung;Carcinoma, Renal Cell;Uterine Cervical Neoplasms",Antineoplastic agents
771,Lunsumio,mosunetuzumab,mosunetuzumab,"Lymphoma, Follicular",Antineoplastic agents;monoclonal antibodies and antibody drug conjugates
772,Jentadueto,linagliptin;metformin hydrochloride,linagliptin;metformin,"Diabetes Mellitus, Type 2",Drugs used in diabetes
773,Posaconazole AHCL,posaconazole,posaconazole,Mycoses,Antimycotics for systemic use
774,Posaconazole Accord,posaconazole,posaconazole,Mycoses,Antimycotics for systemic use
775,Lemtrada,alemtuzumab,alemtuzumab,Multiple Sclerosis,Selective immunosuppressants
776,Cyramza,ramucirumab,Ramucirumab,Stomach Neoplasms,Antineoplastic agents
777,Sitagliptin / Metformin hydrochloride Mylan,sitagliptin hydrochloride monohydrate;metformin hydrochloride,sitagliptin hydrochloride monohydrate;metformin hydrochloride,"Diabetes Mellitus, Type 2",Drugs used in diabetes
778,Ayvakyt,avapritinib,Avapritinib,Gastrointestinal Stromal Tumors,Other antineoplastic agents;Protein kinase inhibitors
779,Alymsys,bevacizumab,bevacizumab,"Colorectal Neoplasms;Breast Neoplasms;Ovarian Neoplasms;Peritoneal Neoplasms;Carcinoma, Non-Small-Cell Lung;Carcinoma, Renal Cell;Uterine Cervical Neoplasms",Antineoplastic agents
780,Javlor,vinflunine,vinflunine,"Carcinoma, Transitional Cell;Urologic Neoplasms",Antineoplastic agents
781,Zinplava,bezlotoxumab,Bezlotoxumab,"Enterocolitis, Pseudomembranous",Immune sera and immunoglobulins
782,Kinzalkomb,telmisartan;hydrochlorothiazide,Telmisartan;hydrochlorothiazide,Hypertension,Agents acting on the renin-angiotensin system
783,Xolair,omalizumab,omalizumab,Asthma;Urticaria;Rhinitis,Drugs for obstructive airway diseases
784,Ocaliva,obeticholic acid,Obeticholic acid,"Liver Cirrhosis, Biliary",Bile and liver therapy
785,Briviact (in Italy: Nubriveo),brivaracetam,Brivaracetam,Epilepsy,Antiepileptics
786,Entyvio,vedolizumab,vedolizumab,"Colitis, Ulcerative;Crohn Disease",Selective immunosuppressants
787,Evrenzo,roxadustat,Roxadustat,"Anemia;Kidney Failure, Chronic",Antianemic preparations
788,Veoza,fezolinetant,fezolinetant,Menopause;Hot Flashes,Other gynecologicals
789,Translarna,ataluren,Ataluren,"Muscular Dystrophy, Duchenne",Other drugs for disorders of the musculo-skeletal system
790,Darzalex,daratumumab,Daratumumab,Multiple Myeloma,Antineoplastic agents;monoclonal antibodies and antibody drug conjugates
791,Eladynos,abaloparatide,abaloparatide,"Osteoporosis, Postmenopausal;Osteoporosis",Calcium homeostasis
792,Myclausen,mycophenolate mofetil,mycophenolate mofetil,Graft Rejection,Immunosuppressants
793,Febuxostat Viatris (previously Febuxostat Mylan),febuxostat,febuxostat,"Hyperuricemia;Arthritis, Gouty;Gout",Antigout preparations
794,Lacosamide UCB,lacosamide,lacosamide,"Epilepsies, Partial",Antiepileptics
795,CellCept,mycophenolate mofetil,mycophenolate mofetil,Graft Rejection,Immunosuppressants
796,Glivec,imatinib,imatinib,"Precursor Cell Lymphoblastic Leukemia-Lymphoma;Gastrointestinal Stromal Tumors;Dermatofibrosarcoma;Myelodysplastic-Myeloproliferative Diseases;Leukemia, Myelogenous, Chronic, BCR-ABL Positive;Hypereosinophilic Syndrome",Antineoplastic agents
797,Fampridine Accord,fampridine,Fampridine,Multiple Sclerosis,Other nervous system drugs
798,Entecavir Viatris (previously Entecavir Mylan),entecavir,entecavir monohydrate,Hepatitis B,Antivirals for systemic use
799,Ambrisentan Mylan,ambrisentan,ambrisentan,"Hypertension, Pulmonary",Antihypertensives
800,Myfenax,mycophenolate mofetil,mycophenolate mofetil,Graft Rejection,Immunosuppressants
801,Mycophenolate mofetil Teva,mycophenolate mofetil,mycophenolate mofetil,Graft Rejection,Immunosuppressants
802,Ranexa (previously Latixa),ranolazine,ranolazine,Angina Pectoris,Cardiac therapy
803,Cancidas (previously Caspofungin MSD),caspofungin,caspofungin (as acetate),Candidiasis;Aspergillosis,Antimycotics for systemic use
804,Nivestim,filgrastim,filgrastim,Neutropenia;Hematopoietic Stem Cell Transplantation;Cancer,Immunostimulants
805,Kyprolis,carfilzomib,carfilzomib,Multiple Myeloma,Antineoplastic agents
806,Aerinaze,desloratadine;pseudoephedrine,desloratadine;pseudophedrine sulfate,"Rhinitis, Allergic, Seasonal",Nasal preparations
807,Tepadina,thiotepa,thiotepa,Hematopoietic Stem Cell Transplantation,Antineoplastic agents
808,Komboglyze,saxagliptin;metformin hydrochloride,metformin hydrochloride;saxagliptin hydrochloride,"Diabetes Mellitus, Type 2",Drugs used in diabetes;Combinations of oral blood glucose lowering drugs
809,Enjaymo,sutimlimab,sutimlimab,"Hemolysis;Anemia, Hemolytic, Autoimmune",Immunosuppressants
810,Strimvelis,autologous CD34+ enriched cell fraction that contains CD34+ cells transduced with retroviral vector that encodes for the human ADA cDNA sequence,autologous CD34+ enriched cell fraction that contains CD34+ cells transduced with retroviral vector that encodes for the human adenosine deaminase (ADA) cDNA sequence from human haematopoietic stem/progenitor (CD34+) cells,Severe Combined Immunodeficiency,Immunostimulants
811,Lonsurf,trifluridine;tipiracil,trifluridine;tipiracil hydrochloride,Colorectal Neoplasms,Antineoplastic agents
812,Perjeta,pertuzumab,pertuzumab,Breast Neoplasms,Antineoplastic agents;Monoclonal antibodies
813,Niapelf,paliperidone,paliperidone palmitate,Schizophrenia,Psycholeptics
814,Prevenar 13,"pneumococcal polysaccharide conjugate vaccine (13-valent, adsorbed)",Pneumococcal polysaccharide serotype 1;Pneumococcal polysaccharide serotype 3;Pneumococcal polysaccharide serotype 4;Pneumococcal polysaccharide serotype 5;Pneumococcal polysaccharide serotype 6A;Pneumococcal polysaccharide serotype 6B;Pneumococcal polysaccharide serotype 7F;Pneumococcal polysaccharide serotype 9V;Pneumococcal polysaccharide serotype 14;Pneumococcal polysaccharide serotype 18C;Pneumococcal polysaccharide serotype 19A;Pneumococcal polysaccharide serotype 19F;Pneumococcal polysaccharide serotype 23F,Pneumococcal Infections;Immunization,Vaccines
815,Abiraterone Mylan,abiraterone acetate,abiraterone acetate,Prostatic Neoplasms,Endocrine therapy;Other hormone antagonists and related agents
816,Vfend,voriconazole,voriconazole,Candidiasis;Mycoses;Aspergillosis,Antimycotics for systemic use
817,Rubraca,rucaparib,Rucaparib camsylate,Ovarian Neoplasms,Antineoplastic agents
818,Sixmo,buprenorphine,Buprenorphine hydrochloride,Opioid-Related Disorders,Other nervous system drugs
819,Ertapenem SUN,ertapenem,ertapenem sodium,Bacterial Infections,ertapenem
820,Sorafenib Accord,sorafenib,Sorafenib tosilate,"Carcinoma, Hepatocellular;Carcinoma, Renal Cell",Antineoplastic agents
821,Levodopa/Carbidopa/Entacapone Orion,levodopa;carbidopa;entacapone,levodopa;carbidopa;entacapone,Parkinson Disease,Nervous system
822,Sutent,sunitinib,sunitinib,"Gastrointestinal Stromal Tumors;Carcinoma, Renal Cell;Neuroendocrine Tumors",Antineoplastic agents
823,Cometriq,cabozantinib,cabozantinib,Thyroid Neoplasms,Antineoplastic agents
824,Metalyse,tenecteplase,tenecteplase,Myocardial Infarction,Antithrombotic agents
825,Cotellic,cobimetinib,cobimetinib hemifumarate,Melanoma,Antineoplastic agents
